N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
254,178,BAR0254,CNESRU,308,BAR.3.0.22.178,Cnestidium,Cnestidium rufescens,Connaraceae
255,192,BAR0255,DOLIOL,216,BAR.3.0.22.192,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
256,197,BAR0256,PAULTU,115,BAR.3.0.22.197,Paullinia,Paullinia turbacensis,Sapindaceae
257,186,BAR0257,FARAOC,310,BAR.3.0.23.186,Faramea,Faramea occidentalis,Rubiaceae
258,133,BAR0258,CONNTU,235,BAR.3.0.42.133,Connarus,Connarus turczaninowii,Connaraceae
259,150,BAR0259,CNESRU,102,BAR.3.0.42.150,Cnestidium,Cnestidium rufescens,Connaraceae
260,131,BAR0260,PRI1AS,207,BAR.3.1.11.131,Prionostemma,Prionostemma asperum,Celastraceae
261,147,BAR0261,DOLIOL,290,BAR.3.1.12.147,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
262,133,BAR0262,PAULTU,441,BAR.3.1.13.133,Paullinia,Paullinia turbacensis,Sapindaceae
263,134,BAR0263,CONNTU,316,BAR.3.1.13.134,Connarus,Connarus turczaninowii,Connaraceae
264,122,BAR0264,RINOSY,342,BAR.3.1.21.122,Rinorea,Rinorea sylvatica,Violaceae
265,109,BAR0265,PROTPA,445,BAR.3.1.24.109,Protium,Protium panamense,Burseraceae
266,116,BAR0266,MOURMY,618,BAR.3.1.24.116,Mouriri,Mouriri myrtilloides,Melastomataceae
267,120,BAR0267,PRI1AS,303,BAR.3.1.24.120,Prionostemma,Prionostemma asperum,Celastraceae
268,108,BAR0268,MAR2PA,312,BAR.3.1.32.108,Maripa,Maripa panamensis,Convolvulaceae
269,111,BAR0269,MOURMY,746,BAR.3.1.34.111,Mouriri,Mouriri myrtilloides,Melastomataceae
270,59,BAR0270,RINOSY,340,BAR.3.1.43.59,Rinorea,Rinorea sylvatica,Violaceae
271,61,BAR0271,RINOSY,308,BAR.3.1.43.61,Rinorea,Rinorea sylvatica,Violaceae
272,128,BAR0272,PRI1AS,224,BAR.3.1.43.128,Prionostemma,Prionostemma asperum,Celastraceae
273,58,BAR0273,EUGEOE,347,BAR.3.1.44.58,Eugenia,Eugenia oerstediana,Myrtaceae
274,112,BAR0274,EUGEOE,216,BAR.3.1.44.112,Eugenia,Eugenia oerstediana,Myrtaceae
275,161,BAR0275,CAPPFR,203,BAR.3.2.12.161,Capparidastrum,Capparidastrum frondosum,Capparaceae
276,177,BAR0276,CAPPFR,100,BAR.3.2.12.177,Capparidastrum,Capparidastrum frondosum,Capparaceae
277,188,BAR0277,PAULTU,105,BAR.3.2.12.188,Paullinia,Paullinia turbacensis,Sapindaceae
278,195,BAR0278,CAPPFR,298,BAR.3.2.12.195,Capparidastrum,Capparidastrum frondosum,Capparaceae
279,200,BAR0279,CAPPFR,332,BAR.3.2.12.200,Capparidastrum,Capparidastrum frondosum,Capparaceae
280,190,BAR0280,PROTTE,843,BAR.3.2.13.190,Protium,Protium tenuifolium,Burseraceae
281,180,BAR0281,CAPPFR,284,BAR.3.2.14.180,Capparidastrum,Capparidastrum frondosum,Capparaceae
282,191,BAR0282,CAPPFR,136,BAR.3.2.14.191,Capparidastrum,Capparidastrum frondosum,Capparaceae
283,194,BAR0283,CAPPFR,347,BAR.3.2.14.194,Capparidastrum,Capparidastrum frondosum,Capparaceae
284,129,BAR0284,CONNTU,252,BAR.3.2.21.129,Connarus,Connarus turczaninowii,Connaraceae
285,27,BAR0285,PRI1AS,212,BAR.3.2.23.27,Prionostemma,Prionostemma asperum,Celastraceae
286,144,BAR0286,PRI1AS,288,BAR.3.2.23.144,Prionostemma,Prionostemma asperum,Celastraceae
287,132,BAR0287,DOLIOL,399,BAR.3.2.24.132,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
288,134,BAR0288,SWARS1,202,BAR.3.2.24.134,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
289,196,BAR0289,SWARS2,206,BAR.3.2.24.196,Swartzia,Swartzia simplex var. continentalis,Fabaceae
290,126,BAR0290,CAPPFR,327,BAR.3.2.31.126,Capparidastrum,Capparidastrum frondosum,Capparaceae
291,131,BAR0291,PAULTU,247,BAR.3.2.31.131,Paullinia,Paullinia turbacensis,Sapindaceae
292,135,BAR0292,CAPPFR,306,BAR.3.2.31.135,Capparidastrum,Capparidastrum frondosum,Capparaceae
293,146,BAR0293,CAPPFR,242,BAR.3.2.31.146,Capparidastrum,Capparidastrum frondosum,Capparaceae
294,133,BAR0294,CONNTU,333,BAR.3.2.32.133,Connarus,Connarus turczaninowii,Connaraceae
295,142,BAR0295,CONNTU,342,BAR.3.2.32.142,Connarus,Connarus turczaninowii,Connaraceae
296,145,BAR0296,SWARS1,460,BAR.3.2.32.145,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
297,113,BAR0297,COCCP1,691,BAR.4.0.21.113,Coccoloba,Coccoloba excelsa,Polygonaceae
298,115,BAR0298,RINOSY,682,BAR.4.0.24.115,Rinorea,Rinorea sylvatica,Violaceae
299,122,BAR0299,EUGENE,340,BAR.4.0.24.122,Eugenia,Eugenia nesiotica,Myrtaceae
300,125,BAR0300,EUGENE,331,BAR.4.0.24.125,Eugenia,Eugenia nesiotica,Myrtaceae
301,75,BAR0301,FARAOC,880,BAR.4.0.33.75,Faramea,Faramea occidentalis,Rubiaceae
302,84,BAR0302,FARAOC,603,BAR.4.0.41.84,Faramea,Faramea occidentalis,Rubiaceae
303,31,BAR0303,RINOSY,260,BAR.4.1.11.31,Rinorea,Rinorea sylvatica,Violaceae
304,56,BAR0304,PSYCFU,336,BAR.4.1.12.56,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
305,129,BAR0305,PRI1AS,361,BAR.4.1.22.129,Prionostemma,Prionostemma asperum,Celastraceae
306,137,BAR0306,FARAOC,390,BAR.4.1.23.137,Faramea,Faramea occidentalis,Rubiaceae
307,140,BAR0307,PSYCFU,580,BAR.4.1.23.140,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
308,142,BAR0308,PSYCFU,801,BAR.4.1.23.142,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
309,143,BAR0309,PAULFI,260,BAR.4.1.23.143,Paullinia,Paullinia fibrigera,Sapindaceae
310,146,BAR0310,PSYCFU,753,BAR.4.1.23.146,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
311,148,BAR0311,HIRARE,281,BAR.4.1.23.148,Hiraea,Hiraea reclinata,Malpighiaceae
312,144,BAR0312,PSYCIP,252,BAR.4.1.31.144,Psychotria,Psychotria ciprianiana,Rubiaceae
313,39,BAR0313,COCCP1,261,BAR.4.1.34.39,Coccoloba,Coccoloba excelsa,Polygonaceae
314,68,BAR0314,PROTPA,621,BAR.4.1.34.68,Protium,Protium panamense,Burseraceae
315,91,BAR0315,CONNTU,351,BAR.4.1.42.91,Connarus,Connarus turczaninowii,Connaraceae
316,121,BAR0316,HIRARE,265,BAR.4.1.43.121,Hiraea,Hiraea reclinata,Malpighiaceae
317,130,BAR0317,RINOSY,374,BAR.4.1.43.130,Rinorea,Rinorea sylvatica,Violaceae
318,19,BAR0318,ACACHA,613,BAR.4.1.44.19,Senegalia,Senegalia hayesii,Fabaceae
319,35,BAR0319,FARAOC,551,BAR.4.1.44.35,Faramea,Faramea occidentalis,Rubiaceae
320,158,BAR0320,HIRARE,300,BAR.4.1.44.158,Hiraea,Hiraea reclinata,Malpighiaceae
321,10,BAR0321,PROTTE,743,BAR.4.2.11.10,Protium,Protium tenuifolium,Burseraceae
322,57,BAR0322,CONNTU,200,BAR.4.2.13.57,Connarus,Connarus turczaninowii,Connaraceae
323,7,BAR0323,DOLIOL,351,BAR.4.2.14.7,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
324,8,BAR0324,FARAOC,253,BAR.4.2.14.8,Faramea,Faramea occidentalis,Rubiaceae
325,54,BAR0325,PRI1AS,221,BAR.4.2.14.54,Prionostemma,Prionostemma asperum,Celastraceae
326,114,BAR0326,PROTTE,412,BAR.4.2.22.114,Protium,Protium tenuifolium,Burseraceae
327,176,BAR0327,CONNTU,331,BAR.4.2.22.176,Connarus,Connarus turczaninowii,Connaraceae
328,184,BAR0328,CONNTU,322,BAR.4.2.22.184,Connarus,Connarus turczaninowii,Connaraceae
329,6,BAR0329,CNESRU,312,BAR.4.2.23.6,Cnestidium,Cnestidium rufescens,Connaraceae
330,15,BAR0330,PAULFI,343,BAR.4.2.23.15,Paullinia,Paullinia fibrigera,Sapindaceae
331,32,BAR0331,FARAOC,270,BAR.4.2.23.32,Faramea,Faramea occidentalis,Rubiaceae
332,65,BAR0332,DOLIOL,240,BAR.4.2.23.65,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
333,67,BAR0333,FARAOC,241,BAR.4.2.23.67,Faramea,Faramea occidentalis,Rubiaceae
334,3,BAR0334,MAR2PA,405,BAR.4.2.24.3,Maripa,Maripa panamensis,Convolvulaceae
335,64,BAR0335,EUGENE,320,BAR.4.2.24.64,Eugenia,Eugenia nesiotica,Myrtaceae
336,106,BAR0336,CONNTU,261,BAR.4.2.24.106,Connarus,Connarus turczaninowii,Connaraceae
337,120,BAR0337,EUGENE,340,BAR.4.2.24.120,Eugenia,Eugenia nesiotica,Myrtaceae
338,192,BAR0338,MAR2PA,317,BAR.4.2.31.192,Maripa,Maripa panamensis,Convolvulaceae
339,179,BAR0339,FARAOC,100,BAR.4.2.32.179,Faramea,Faramea occidentalis,Rubiaceae
340,183,BAR0340,FARAOC,261,BAR.4.2.32.183,Faramea,Faramea occidentalis,Rubiaceae
341,185,BAR0341,EUGEOE,242,BAR.4.2.32.185,Eugenia,Eugenia oerstediana,Myrtaceae
342,188,BAR0342,FARAOC,241,BAR.4.2.32.188,Faramea,Faramea occidentalis,Rubiaceae
343,189,BAR0343,CONNTU,315,BAR.4.2.32.189,Connarus,Connarus turczaninowii,Connaraceae
344,193,BAR0344,DOLIOL,281,BAR.4.2.32.193,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
345,194,BAR0345,EUGEOE,281,BAR.4.2.32.194,Eugenia,Eugenia oerstediana,Myrtaceae
346,199,BAR0346,FARAOC,121,BAR.4.2.32.199,Faramea,Faramea occidentalis,Rubiaceae
347,146,BAR0347,COCCP1,303,BAR.4.2.33.146,Coccoloba,Coccoloba excelsa,Polygonaceae
348,108,BAR0348,DOLIMA,451,BAR.4.2.34.108,Doliocarpus,Doliocarpus major,Dilleniaceae
349,118,BAR0349,ACACHA,431,BAR.4.2.34.118,Senegalia,Senegalia hayesii,Fabaceae
350,126,BAR0350,ACACHA,479,BAR.4.2.34.126,Senegalia,Senegalia hayesii,Fabaceae
351,127,BAR0351,DOLIMA,382,BAR.4.2.34.127,Doliocarpus,Doliocarpus major,Dilleniaceae
352,130,BAR0352,SWARS1,513,BAR.4.2.34.130,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
353,133,BAR0353,DOLIMA,420,BAR.4.2.34.133,Doliocarpus,Doliocarpus major,Dilleniaceae
354,134,BAR0354,DOLIMA,607,BAR.4.2.34.134,Doliocarpus,Doliocarpus major,Dilleniaceae
355,135,BAR0355,ACACHA,331,BAR.4.2.34.135,Senegalia,Senegalia hayesii,Fabaceae
356,140,BAR0356,DOLIMA,442,BAR.4.2.34.140,Doliocarpus,Doliocarpus major,Dilleniaceae
357,142,BAR0357,DOLIMA,362,BAR.4.2.34.142,Doliocarpus,Doliocarpus major,Dilleniaceae
358,143,BAR0358,DOLIMA,422,BAR.4.2.34.143,Doliocarpus,Doliocarpus major,Dilleniaceae
359,144,BAR0359,DOLIMA,422,BAR.4.2.34.144,Doliocarpus,Doliocarpus major,Dilleniaceae
360,147,BAR0360,DOLIMA,531,BAR.4.2.34.147,Doliocarpus,Doliocarpus major,Dilleniaceae
361,182,BAR0361,DOLIMA,601,BAR.4.2.34.182,Doliocarpus,Doliocarpus major,Dilleniaceae
362,190,BAR0362,PSYCFU,390,BAR.4.2.34.190,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
363,69,BAR0363,DOLIOL,205,BAR.4.2.41.69,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
364,106,BAR0364,EUGEOE,452,BAR.4.2.41.106,Eugenia,Eugenia oerstediana,Myrtaceae
365,110,BAR0365,PROTPA,301,BAR.4.2.41.110,Protium,Protium panamense,Burseraceae
366,111,BAR0366,CONNTU,821,BAR.4.2.41.111,Connarus,Connarus turczaninowii,Connaraceae
367,119,BAR0367,EUGEOE,462,BAR.4.2.41.119,Eugenia,Eugenia oerstediana,Myrtaceae
368,137,BAR0368,PAULFI,251,BAR.4.2.41.137,Paullinia,Paullinia fibrigera,Sapindaceae
369,149,BAR0369,EUGEOE,341,BAR.4.2.41.149,Eugenia,Eugenia oerstediana,Myrtaceae
370,197,BAR0370,HIRARE,262,BAR.4.2.41.197,Hiraea,Hiraea reclinata,Malpighiaceae
371,28,BAR0371,ACACHA,71,BAR.4.2.42.28,Senegalia,Senegalia hayesii,Fabaceae
372,112,BAR0372,ACACHA,503,BAR.4.2.42.112,Senegalia,Senegalia hayesii,Fabaceae
373,176,BAR0373,ACACHA,315,BAR.4.2.42.176,Senegalia,Senegalia hayesii,Fabaceae
374,32,BAR0374,CONNTU,291,BAR.5.0.11.32,Connarus,Connarus turczaninowii,Connaraceae
375,36,BAR0375,CONNTU,251,BAR.5.0.11.36,Connarus,Connarus turczaninowii,Connaraceae
376,101,BAR0376,PHRYCO,503,BAR.5.0.11.101,Bignonia,Bignonia corymbosa,Bignoniaceae
377,104,BAR0377,EUGENE,542,BAR.5.0.11.104,Eugenia,Eugenia nesiotica,Myrtaceae
378,121,BAR0378,PHRYCO,310,BAR.5.0.11.121,Bignonia,Bignonia corymbosa,Bignoniaceae
379,124,BAR0379,EUGENE,471,BAR.5.0.11.124,Eugenia,Eugenia nesiotica,Myrtaceae
380,169,BAR0380,MAR2PA,501,BAR.5.0.11.169,Maripa,Maripa panamensis,Convolvulaceae
381,72,BAR0381,CAPPFR,242,BAR.5.0.22.72,Capparidastrum,Capparidastrum frondosum,Capparaceae
382,80,BAR0382,CAPPFR,202,BAR.5.0.22.80,Capparidastrum,Capparidastrum frondosum,Capparaceae
383,120,BAR0383,FARAOC,93,BAR.5.0.22.120,Faramea,Faramea occidentalis,Rubiaceae
384,145,BAR0384,CAPPFR,31,BAR.5.0.22.145,Capparidastrum,Capparidastrum frondosum,Capparaceae
385,159,BAR0385,MAR2PA,210,BAR.5.0.22.159,Maripa,Maripa panamensis,Convolvulaceae
386,180,BAR0386,FARAOC,200,BAR.5.0.22.180,Faramea,Faramea occidentalis,Rubiaceae
387,198,BAR0387,CAPPFR,361,BAR.5.0.22.198,Capparidastrum,Capparidastrum frondosum,Capparaceae
388,106,BAR0388,PHRYCO,421,BAR.5.0.24.106,Bignonia,Bignonia corymbosa,Bignoniaceae
389,114,BAR0389,PHRYCO,431,BAR.5.0.24.114,Bignonia,Bignonia corymbosa,Bignoniaceae
390,117,BAR0390,SWARS2,411,BAR.5.0.24.117,Swartzia,Swartzia simplex var. continentalis,Fabaceae
391,123,BAR0391,CONNTU,321,BAR.5.0.24.123,Connarus,Connarus turczaninowii,Connaraceae
392,197,BAR0392,COCCP1,200,BAR.5.0.32.197,Coccoloba,Coccoloba excelsa,Polygonaceae
393,198,BAR0393,PHRYCO,272,BAR.5.0.33.198,Bignonia,Bignonia corymbosa,Bignoniaceae
394,7,BAR0394,DOLIMA,273,BAR.5.1.11.7,Doliocarpus,Doliocarpus major,Dilleniaceae
395,14,BAR0395,DOLIMA,241,BAR.5.1.11.14,Doliocarpus,Doliocarpus major,Dilleniaceae
396,22,BAR0396,DOLIMA,211,BAR.5.1.11.22,Doliocarpus,Doliocarpus major,Dilleniaceae
397,48,BAR0397,DOLIMA,213,BAR.5.1.11.48,Doliocarpus,Doliocarpus major,Dilleniaceae
398,78,BAR0398,DOLIMA,231,BAR.5.1.11.78,Doliocarpus,Doliocarpus major,Dilleniaceae
399,88,BAR0399,EUGEOE,200,BAR.5.1.11.88,Eugenia,Eugenia oerstediana,Myrtaceae
400,100,BAR0400,EUGEOE,228,BAR.5.1.11.100,Eugenia,Eugenia oerstediana,Myrtaceae
401,108,BAR0401,POUTRE,255,BAR.5.1.11.108,Pouteria,Pouteria reticulata,Sapotaceae
402,113,BAR0402,EUGEOE,427,BAR.5.1.11.113,Eugenia,Eugenia oerstediana,Myrtaceae
403,118,BAR0403,MOURMY,263,BAR.5.1.11.118,Mouriri,Mouriri myrtilloides,Melastomataceae
404,119,BAR0404,EUGEOE,380,BAR.5.1.11.119,Eugenia,Eugenia oerstediana,Myrtaceae
405,124,BAR0405,DOLIMA,316,BAR.5.1.11.124,Doliocarpus,Doliocarpus major,Dilleniaceae
406,125,BAR0406,DOLIMA,422,BAR.5.1.11.125,Doliocarpus,Doliocarpus major,Dilleniaceae
407,131,BAR0407,EUGEOE,197,BAR.5.1.11.131,Eugenia,Eugenia oerstediana,Myrtaceae
408,167,BAR0408,DOLIMA,325,BAR.5.1.11.167,Doliocarpus,Doliocarpus major,Dilleniaceae
409,78,BAR0409,HIRARE,245,BAR.5.1.12.78,Hiraea,Hiraea reclinata,Malpighiaceae
410,103,BAR0410,MOURMY,922,BAR.5.1.12.103,Mouriri,Mouriri myrtilloides,Melastomataceae
411,154,BAR0411,HIRARE,220,BAR.5.1.12.154,Hiraea,Hiraea reclinata,Malpighiaceae
412,162,BAR0412,POUTRE,370,BAR.5.1.12.162,Pouteria,Pouteria reticulata,Sapotaceae
413,164,BAR0413,HIRARE,217,BAR.5.1.12.164,Hiraea,Hiraea reclinata,Malpighiaceae
414,7,BAR0414,EUGEOE,323,BAR.5.1.13.7,Eugenia,Eugenia oerstediana,Myrtaceae
415,93,BAR0415,EUGEOE,492,BAR.5.1.13.93,Eugenia,Eugenia oerstediana,Myrtaceae
416,119,BAR0416,PSYCFU,430,BAR.5.1.13.119,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
417,155,BAR0417,HIRARE,290,BAR.5.1.13.155,Hiraea,Hiraea reclinata,Malpighiaceae
418,64,BAR0418,CNESRU,244,BAR.5.1.14.64,Cnestidium,Cnestidium rufescens,Connaraceae
419,133,BAR0419,PSYCFU,816,BAR.5.1.14.133,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
420,139,BAR0420,HIRARE,616,BAR.5.1.14.139,Hiraea,Hiraea reclinata,Malpighiaceae
421,140,BAR0421,PSYCFU,636,BAR.5.1.14.140,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
422,157,BAR0422,HIRARE,312,BAR.5.1.14.157,Hiraea,Hiraea reclinata,Malpighiaceae
423,149,BAR0423,SWARS2,381,BAR.5.1.21.149,Swartzia,Swartzia simplex var. continentalis,Fabaceae
424,130,BAR0424,CNESRU,281,BAR.5.1.23.130,Cnestidium,Cnestidium rufescens,Connaraceae
425,137,BAR0425,PAULTU,452,BAR.5.1.23.137,Paullinia,Paullinia turbacensis,Sapindaceae
426,19,BAR0426,DOLIOL,242,BAR.5.1.24.19,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
427,135,BAR0427,COCCP1,465,BAR.5.1.24.135,Coccoloba,Coccoloba excelsa,Polygonaceae
428,178,BAR0428,RINOSY,671,BAR.5.1.42.178,Rinorea,Rinorea sylvatica,Violaceae
429,183,BAR0429,PAULFI,431,BAR.5.1.42.183,Paullinia,Paullinia fibrigera,Sapindaceae
430,76,BAR0430,SWARS1,322,BAR.5.2.11.76,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
431,132,BAR0431,DOLIOL,237,BAR.5.2.12.132,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
432,152,BAR0432,PAULFI,226,BAR.5.2.12.152,Paullinia,Paullinia fibrigera,Sapindaceae
433,177,BAR0433,CNESRU,272,BAR.5.2.12.177,Cnestidium,Cnestidium rufescens,Connaraceae
434,181,BAR0434,PAULFI,846,BAR.5.2.13.181,Paullinia,Paullinia fibrigera,Sapindaceae
435,153,BAR0435,EUGEOE,337,BAR.5.2.14.153,Eugenia,Eugenia oerstediana,Myrtaceae
436,176,BAR0436,EUGEOE,412,BAR.5.2.14.176,Eugenia,Eugenia oerstediana,Myrtaceae
437,184,BAR0437,PROTPA,61,BAR.5.2.14.184,Protium,Protium panamense,Burseraceae
438,199,BAR0438,EUGEOE,227,BAR.5.2.14.199,Eugenia,Eugenia oerstediana,Myrtaceae
439,102,BAR0439,PHRYCO,509,BAR.5.2.21.102,Bignonia,Bignonia corymbosa,Bignoniaceae
440,106,BAR0440,DOLIOL,404,BAR.5.2.21.106,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
441,124,BAR0441,PAULTU,198,BAR.5.2.21.124,Paullinia,Paullinia turbacensis,Sapindaceae
442,39,BAR0442,TET2PA,201,BAR.5.2.23.39,Tetragastris,Tetragastris panamensis,Burseraceae
443,113,BAR0443,EUGEOE,213,BAR.5.2.23.113,Eugenia,Eugenia oerstediana,Myrtaceae
444,134,BAR0444,EUGEOE,272,BAR.5.2.23.134,Eugenia,Eugenia oerstediana,Myrtaceae
445,136,BAR0445,TET2PA,289,BAR.5.2.23.136,Tetragastris,Tetragastris panamensis,Burseraceae
446,158,BAR0446,EUGEOE,319,BAR.5.2.23.158,Eugenia,Eugenia oerstediana,Myrtaceae
447,159,BAR0447,EUGENE,322,BAR.5.2.23.159,Eugenia,Eugenia nesiotica,Myrtaceae
448,161,BAR0448,EUGEOE,376,BAR.5.2.23.161,Eugenia,Eugenia oerstediana,Myrtaceae
449,164,BAR0449,EUGEOE,265,BAR.5.2.23.164,Eugenia,Eugenia oerstediana,Myrtaceae
450,168,BAR0450,RINOSY,303,BAR.5.2.23.168,Rinorea,Rinorea sylvatica,Violaceae
451,169,BAR0451,TET2PA,257,BAR.5.2.23.169,Tetragastris,Tetragastris panamensis,Burseraceae
452,170,BAR0452,PROTPA,252,BAR.5.2.23.170,Protium,Protium panamense,Burseraceae
453,171,BAR0453,EUGENE,289,BAR.5.2.23.171,Eugenia,Eugenia nesiotica,Myrtaceae
454,110,BAR0454,PHRYCO,271,BAR.5.2.32.110,Bignonia,Bignonia corymbosa,Bignoniaceae
455,119,BAR0455,PROTPA,762,BAR.5.2.32.119,Protium,Protium panamense,Burseraceae
456,57,BAR0456,EUGEOE,264,BAR.5.2.33.57,Eugenia,Eugenia oerstediana,Myrtaceae
457,97,BAR0457,RINOSY,273,BAR.5.2.33.97,Rinorea,Rinorea sylvatica,Violaceae
458,104,BAR0458,EUGEOE,328,BAR.5.2.33.104,Eugenia,Eugenia oerstediana,Myrtaceae
459,118,BAR0459,EUGEOE,242,BAR.5.2.33.118,Eugenia,Eugenia oerstediana,Myrtaceae
460,122,BAR0460,ACACHA,209,BAR.5.2.33.122,Senegalia,Senegalia hayesii,Fabaceae
461,64,BAR0461,EUGEOE,276,BAR.5.2.34.64,Eugenia,Eugenia oerstediana,Myrtaceae
462,90,BAR0462,EUGEOE,278,BAR.5.2.34.90,Eugenia,Eugenia oerstediana,Myrtaceae
463,103,BAR0463,CONNTU,321,BAR.5.2.34.103,Connarus,Connarus turczaninowii,Connaraceae
464,63,BAR0464,PRI1AS,77,BAR.5.2.43.63,Prionostemma,Prionostemma asperum,Celastraceae
465,117,BAR0465,PROTPA,36,BAR.5.2.43.117,Protium,Protium panamense,Burseraceae
466,129,BAR0466,PRI1AS,527,BAR.5.2.43.129,Prionostemma,Prionostemma asperum,Celastraceae
467,149,BAR0467,PROTTE,592,BAR.5.2.43.149,Protium,Protium tenuifolium,Burseraceae
468,28,BAR0468,CNESRU,216,BAR.5.2.44.28,Cnestidium,Cnestidium rufescens,Connaraceae
469,116,BAR0469,PHRYCO,204,BAR.5.2.44.116,Bignonia,Bignonia corymbosa,Bignoniaceae
470,60,BAR0470,CNESRU,414,BAR.6.0.11.60,Cnestidium,Cnestidium rufescens,Connaraceae
471,71,BAR0471,POUTRE,521,BAR.6.0.11.71,Pouteria,Pouteria reticulata,Sapotaceae
472,65,BAR0472,RINOSY,651,BAR.6.0.12.65,Rinorea,Rinorea sylvatica,Violaceae
473,67,BAR0473,RINOSY,556,BAR.6.0.21.67,Rinorea,Rinorea sylvatica,Violaceae
474,1,BAR0474,HYLEPR,311,BAR.6.0.33.1,Hylenaea,Hylenaea praecelsa,Celastraceae
475,3,BAR0475,HYLEPR,202,BAR.6.0.33.3,Hylenaea,Hylenaea praecelsa,Celastraceae
476,4,BAR0476,HYLEPR,206,BAR.6.0.33.4,Hylenaea,Hylenaea praecelsa,Celastraceae
477,7,BAR0477,HYLEPR,225,BAR.6.0.33.7,Hylenaea,Hylenaea praecelsa,Celastraceae
478,14,BAR0478,HYLEPR,251,BAR.6.0.33.14,Hylenaea,Hylenaea praecelsa,Celastraceae
479,20,BAR0479,HYLEPR,208,BAR.6.0.33.20,Hylenaea,Hylenaea praecelsa,Celastraceae
480,21,BAR0480,HYLEPR,251,BAR.6.0.33.21,Hylenaea,Hylenaea praecelsa,Celastraceae
481,28,BAR0481,HYLEPR,262,BAR.6.0.33.28,Hylenaea,Hylenaea praecelsa,Celastraceae
482,41,BAR0482,HYLEPR,221,BAR.6.0.33.41,Hylenaea,Hylenaea praecelsa,Celastraceae
483,42,BAR0483,HYLEPR,271,BAR.6.0.33.42,Hylenaea,Hylenaea praecelsa,Celastraceae
484,49,BAR0484,HYLEPR,241,BAR.6.0.33.49,Hylenaea,Hylenaea praecelsa,Celastraceae
485,56,BAR0485,SWARS2,664,BAR.6.0.33.56,Swartzia,Swartzia simplex var. continentalis,Fabaceae
486,57,BAR0486,HYLEPR,205,BAR.6.0.33.57,Hylenaea,Hylenaea praecelsa,Celastraceae
487,60,BAR0487,HYLEPR,241,BAR.6.0.33.60,Hylenaea,Hylenaea praecelsa,Celastraceae
488,64,BAR0488,MAR2PA,316,BAR.6.0.33.64,Maripa,Maripa panamensis,Convolvulaceae
489,65,BAR0489,HYLEPR,251,BAR.6.0.33.65,Hylenaea,Hylenaea praecelsa,Celastraceae
490,66,BAR0490,HYLEPR,211,BAR.6.0.33.66,Hylenaea,Hylenaea praecelsa,Celastraceae
491,33,BAR0491,HYLEPR,219,BAR.6.0.34.33,Hylenaea,Hylenaea praecelsa,Celastraceae
492,40,BAR0492,HYLEPR,276,BAR.6.0.34.40,Hylenaea,Hylenaea praecelsa,Celastraceae
493,46,BAR0493,HYLEPR,202,BAR.6.0.34.46,Hylenaea,Hylenaea praecelsa,Celastraceae
494,51,BAR0494,HYLEPR,215,BAR.6.0.34.51,Hylenaea,Hylenaea praecelsa,Celastraceae
495,74,BAR0495,HYLEPR,252,BAR.6.0.34.74,Hylenaea,Hylenaea praecelsa,Celastraceae
496,75,BAR0496,HYLEPR,221,BAR.6.0.34.75,Hylenaea,Hylenaea praecelsa,Celastraceae
497,101,BAR0497,HYLEPR,166,BAR.6.0.34.101,Hylenaea,Hylenaea praecelsa,Celastraceae
498,113,BAR0498,SWARS1,942,BAR.6.1.13.113,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
499,123,BAR0499,SWARS2,227,BAR.6.1.13.123,Swartzia,Swartzia simplex var. continentalis,Fabaceae
500,105,BAR0500,CONNTU,241,BAR.6.1.14.105,Connarus,Connarus turczaninowii,Connaraceae
501,120,BAR0501,CONNTU,346,BAR.6.1.43.120,Connarus,Connarus turczaninowii,Connaraceae
502,155,BAR0502,DOLIOL,375,BAR.6.1.43.155,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
503,162,BAR0503,PSYCIP,351,BAR.6.1.44.162,Psychotria,Psychotria ciprianiana,Rubiaceae
504,103,BAR0504,SWARS1,308,BAR.6.2.11.103,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
